exp,fold,threshold,accuracy,prec_benign,rec_benign,f1_benign,prec_malignant,rec_malignant,f1_malignant,macro_prec,macro_rec,macro_f1,weighted_prec,weighted_rec,weighted_f1,auc,mcc
Ref_ImgSE,4,0.5400000000000004,0.828125,0.6990291262135923,0.75,0.7236180904522613,0.8894009216589862,0.8616071428571429,0.8752834467120182,0.7942150239362893,0.8058035714285714,0.7994507685821397,0.8322893830253679,0.828125,0.8297838398340911,0.8867652529761905,0.5999066763677826
Ref_ImgSE,5,0.2500000000000001,0.853125,0.7525773195876289,0.7604166666666666,0.7564766839378239,0.8968609865470852,0.8928571428571429,0.8948545861297539,0.824719153067357,0.8266369047619048,0.8256656350337889,0.8535758864592484,0.853125,0.8533412154721749,0.8930896577380953,0.6513532346579042
Ablation_Unimodal,1,0.5300000000000004,0.7875,0.6707317073170732,0.5729166666666666,0.6179775280898876,0.8277310924369747,0.8794642857142857,0.8528138528138528,0.7492313998770239,0.7261904761904762,0.7353956904518701,0.7806312769010043,0.7875,0.7823629553966633,0.8173363095238095,0.4748632182841836
Ablation_Unimodal,2,0.21000000000000005,0.775,0.6071428571428571,0.7083333333333334,0.6538461538461539,0.8653846153846154,0.8035714285714286,0.8333333333333334,0.7362637362637363,0.7559523809523809,0.7435897435897436,0.787912087912088,0.775,0.7794871794871796,0.8291480654761906,0.4918221866870533
Ablation_Unimodal,3,0.7300000000000005,0.74375,0.5603448275862069,0.6770833333333334,0.6132075471698113,0.8480392156862745,0.7723214285714286,0.8084112149532711,0.7041920216362407,0.7247023809523809,0.7108093810615412,0.7617308992562541,0.74375,0.7498501146182331,0.7993861607142857,0.4284037041536563
Ablation_Unimodal,4,0.8600000000000007,0.675,0.47468354430379744,0.78125,0.5905511811023622,0.8703703703703703,0.6294642857142857,0.7305699481865285,0.6725269573370839,0.7053571428571428,0.6605605646444453,0.7516643225503985,0.675,0.6885643180612787,0.8109654017857142,0.3764552723741812
Ablation_Unimodal,5,0.6400000000000005,0.784375,0.6062992125984252,0.8020833333333334,0.6905829596412556,0.9015544041450777,0.7767857142857143,0.8345323741007195,0.7539268083717514,0.7894345238095238,0.7625576668709875,0.812977846681082,0.784375,0.7913475497628804,0.8797898065476191,0.5421999072797784
Ablation_NoSE,1,0.28000000000000014,0.809375,0.6923076923076923,0.65625,0.6737967914438503,0.8558951965065502,0.875,0.8653421633554084,0.7741014444071213,0.765625,0.7695694773996293,0.8068189452468928,0.809375,0.8078785517819409,0.8431454613095238,0.5396598787037687
Ablation_NoSE,2,0.7500000000000006,0.778125,0.6016260162601627,0.7708333333333334,0.6757990867579908,0.8883248730964467,0.78125,0.831353919239905,0.7449754446783047,0.7760416666666667,0.7535765029989479,0.8023152160455614,0.778125,0.7846874694953307,0.8721168154761905,0.5200901077367537
Ablation_NoSE,3,0.41000000000000025,0.79375,0.6530612244897959,0.6666666666666666,0.6597938144329897,0.8558558558558559,0.8482142857142857,0.852017937219731,0.7544585401728259,0.7574404761904762,0.7559058758263604,0.7950174664460379,0.79375,0.7943507003837086,0.8364025297619047,0.5118903310390839
Ablation_NoSE,4,0.4400000000000003,0.828125,0.6880733944954128,0.78125,0.7317073170731707,0.9004739336492891,0.8482142857142857,0.8735632183908046,0.7942736640723509,0.8147321428571428,0.8026352677319877,0.8367537719031262,0.828125,0.8310064479955145,0.8907645089285715,0.6086620766235203
Ablation_NoSE,5,0.6600000000000005,0.81875,0.6666666666666666,0.7916666666666666,0.7238095238095238,0.9029126213592233,0.8303571428571429,0.8651162790697674,0.7847896440129449,0.8110119047619048,0.7944629014396456,0.8320388349514563,0.81875,0.8227242524916942,0.8781622023809523,0.5952242254509835
Ablation_NoEMA,1,0.6800000000000005,0.753125,0.5658914728682171,0.7604166666666666,0.6488888888888888,0.8795811518324608,0.75,0.8096385542168675,0.722736312350339,0.7552083333333333,0.7292637215528781,0.7854742481431876,0.753125,0.7614136546184739,0.8332868303571429,0.47684027953914604
Ablation_NoEMA,2,0.5400000000000004,0.796875,0.6422018348623854,0.7291666666666666,0.6829268292682927,0.8767772511848341,0.8258928571428571,0.8505747126436781,0.7594895430236097,0.7775297619047619,0.7667507709559854,0.8064046262880995,0.796875,0.8002803476310625,0.8634672619047619,0.5367162046822058
Ablation_NoEMA,3,0.3600000000000002,0.778125,0.6190476190476191,0.6770833333333334,0.6467661691542289,0.8558139534883721,0.8214285714285714,0.8382687927107062,0.7374307862679956,0.7492559523809523,0.7425174809324675,0.7847840531561461,0.778125,0.780818005643763,0.8195684523809523,0.48654305772783396
Ablation_NoEMA,4,0.6900000000000005,0.80625,0.646551724137931,0.78125,0.7075471698113207,0.8970588235294118,0.8169642857142857,0.8551401869158879,0.7718052738336714,0.7991071428571428,0.7813436783636043,0.8219066937119676,0.80625,0.8108622817845177,0.8670944940476192,0.5702592353303637
Ablation_NoEMA,5,0.6700000000000005,0.778125,0.5968992248062015,0.8020833333333334,0.6844444444444444,0.900523560209424,0.7678571428571429,0.8289156626506025,0.7487113925078128,0.7849702380952381,0.7566800535475234,0.8094362595884572,0.778125,0.7855742971887552,0.8668154761904763,0.5324484754037695
Ablation_WCE,1,0.41000000000000025,0.815625,0.6697247706422018,0.7604166666666666,0.7121951219512195,0.8909952606635071,0.8392857142857143,0.864367816091954,0.7803600156528545,0.7998511904761905,0.7882814690215867,0.8246141136571155,0.815625,0.8187160078497338,0.8629557291666666,0.5798837278469945
Ablation_WCE,2,0.8000000000000006,0.771875,0.5877862595419847,0.8020833333333334,0.6784140969162996,0.8994708994708994,0.7589285714285714,0.8232445520581114,0.7436285795064421,0.7805059523809523,0.7508293244872055,0.8059655074922251,0.771875,0.779795415515568,0.8667689732142857,0.5228356021606528
Ablation_WCE,3,0.7600000000000006,0.8125,0.6730769230769231,0.7291666666666666,0.7,0.8796296296296297,0.8482142857142857,0.8636363636363636,0.7763532763532763,0.7886904761904762,0.7818181818181817,0.8176638176638177,0.8125,0.8145454545454545,0.8559802827380952,0.5649090509001449
Ablation_WCE,4,0.9400000000000007,0.83125,0.7837837837837838,0.6041666666666666,0.6823529411764706,0.8455284552845529,0.9285714285714286,0.8851063829787233,0.8146561195341684,0.7663690476190477,0.783729662077597,0.8270050538343222,0.83125,0.8242803504380476,0.8838355654761905,0.5790152014854935
Ablation_WCE,5,0.8900000000000007,0.83125,0.6842105263157895,0.8125,0.7428571428571429,0.912621359223301,0.8392857142857143,0.8744186046511628,0.7984159427695452,0.8258928571428572,0.8086378737541529,0.8440981093510475,0.83125,0.8349501661129569,0.8854166666666667,0.6237038534629923
