exp,fold,threshold,accuracy,prec_benign,rec_benign,f1_benign,prec_malignant,rec_malignant,f1_malignant,macro_prec,macro_rec,macro_f1,weighted_prec,weighted_rec,weighted_f1,auc,mcc
ImgSE_AuxTask,5,0.4600000000000003,0.84375,0.75,0.71875,0.7340425531914894,0.881578947368421,0.8973214285714286,0.8893805309734514,0.8157894736842105,0.8080357142857143,0.8117115420824703,0.8421052631578947,0.84375,0.8427791376388628,0.8707682291666666,0.6237769989033759
MetaCondSE_AuxTask,1,0.6400000000000005,0.81875,0.6826923076923077,0.7395833333333334,0.71,0.8842592592592593,0.8526785714285714,0.8681818181818182,0.7834757834757835,0.7961309523809523,0.7890909090909091,0.8237891737891738,0.81875,0.8207272727272727,0.8450055803571429,0.5794685625212825
MetaCondSE_AuxTask,2,0.5300000000000004,0.7875,0.609375,0.8125,0.6964285714285714,0.90625,0.7767857142857143,0.8365384615384616,0.7578125,0.7946428571428572,0.7664835164835164,0.8171875,0.7875,0.7945054945054946,0.873046875,0.5512263114443753
MetaCondSE_AuxTask,3,0.3700000000000002,0.825,0.7040816326530612,0.71875,0.711340206185567,0.8783783783783784,0.8705357142857143,0.874439461883408,0.7912300055157198,0.7946428571428572,0.7928898340344875,0.8260893546607833,0.825,0.8255096851740558,0.8685360863095238,0.5858629222297029
MetaCondSE_AuxTask,4,0.8700000000000007,0.75,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.9090909090909091,0.7142857142857143,0.8,0.7323232323232323,0.7738095238095238,0.7333333333333334,0.803030303030303,0.75,0.76,0.8682105654761905,0.5044296328024895
MetaCondSE_AuxTask,5,0.5000000000000003,0.8375,0.7115384615384616,0.7708333333333334,0.74,0.8981481481481481,0.8660714285714286,0.8818181818181818,0.8048433048433048,0.8184523809523809,0.8109090909090909,0.8421652421652421,0.8375,0.8392727272727273,0.8872302827380952,0.6231470973846959
ImgSE_BidirCrossAttn,1,0.6000000000000004,0.80625,0.6545454545454545,0.75,0.6990291262135923,0.8857142857142857,0.8303571428571429,0.8571428571428571,0.7701298701298701,0.7901785714285714,0.7780859916782247,0.8163636363636362,0.80625,0.8097087378640776,0.8542131696428572,0.5599496399301325
ImgSE_BidirCrossAttn,2,0.22000000000000006,0.79375,0.6339285714285714,0.7395833333333334,0.6826923076923077,0.8798076923076923,0.8169642857142857,0.8472222222222222,0.7568681318681318,0.7782738095238095,0.7649572649572649,0.8060439560439561,0.79375,0.7978632478632479,0.8581659226190476,0.5347136564562731
ImgSE_BidirCrossAttn,3,0.7100000000000005,0.79375,0.6271186440677966,0.7708333333333334,0.6915887850467289,0.8910891089108911,0.8035714285714286,0.8450704225352113,0.7591038764893439,0.7872023809523809,0.7683296037909702,0.8118979694579627,0.79375,0.7990259312886666,0.8467261904761906,0.545583175113497
ImgSE_BidirCrossAttn,4,0.5200000000000004,0.828125,0.7252747252747253,0.6875,0.7058823529411765,0.868995633187773,0.8883928571428571,0.8785871964679912,0.7971351792312491,0.7879464285714286,0.7922347747045839,0.8258793608138586,0.828125,0.8267757434099468,0.8911365327380952,0.5850094483427408
